date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2021-06-01,-150.5135,-147.6692,3.0000,-2.8443,0.1557
2021-06-02,238.6253,238.8930,3.0000,-0.2677,2.7323
2021-06-03,446.6779,446.4760,3.0000,0.2019,3.2019
2021-06-04,-616.0478,-616.4408,4.0566,0.3930,4.4496
2021-06-05,-357.2728,-360.9778,3.0000,3.7050,6.7050
2021-06-06,79.7197,85.3808,3.0000,-5.6611,-2.6611
2021-06-07,-626.7462,-628.6711,3.0000,1.9249,4.9249
2021-06-08,-51.2565,-53.1669,2.1015,1.9103,4.0118
2021-06-09,1200.4622,1197.3512,-1.0239,3.1109,2.0870
2021-06-10,-190.5234,-187.0000,-0.0766,-3.5234,-3.6000
2021-06-11,178.9358,172.0114,1.7388,6.9244,8.6632
2021-06-12,-478.3754,-472.7480,0.1406,-5.6273,-5.4867
2021-06-13,977.4515,972.6750,0.5933,4.7765,5.3698
2021-06-14,383.3158,383.5112,1.6856,-0.1954,1.4902
2021-06-15,-91.8766,-87.9842,2.8002,-3.8925,-1.0923
2021-06-16,-447.1473,-445.4928,3.0000,-1.6545,1.3455
2021-06-17,-66.7657,-74.1323,3.0000,7.3665,10.3665
2021-06-18,-596.7322,-590.9769,1.5687,-5.7553,-4.1866
2021-06-19,-93.8363,-91.7054,-0.7171,-2.1309,-2.8480
2021-06-20,32.8150,29.7720,0.1563,3.0430,3.1993
2021-06-21,-1121.1270,-1119.0762,-1.1471,-2.0508,-3.1979
2021-06-22,284.9290,281.5921,-1.4859,3.3369,1.8510
2021-06-23,359.4358,354.8129,-3.3521,4.6229,1.2708
2021-06-24,292.4811,295.8899,-1.6648,-3.4088,-5.0736
2021-06-25,-888.1609,-888.0364,2.2372,-0.1245,2.1127
2021-06-26,221.3748,217.7802,-3.4521,3.5946,0.1425
2021-06-27,748.5802,754.0250,-10.2585,-5.4449,-15.7034
2021-06-28,-59.2069,-57.7986,1.0398,-1.4083,-0.3685
2021-06-29,410.7391,412.9182,2.2229,-2.1791,0.0438
2021-06-30,-241.3501,-245.0123,3.0000,3.6622,6.6622
