pair,direction,entry_time,exit_time,entry_price,initial_risk,exit_reason,n_levels_hit,fraction_via_tp,r_gross,cost_r,commission_r,r_net,leverage_ratio,risk_dollars,effective_risk_pct,leverage_capped,dollar_pnl,balance_after
AUD_JPY,DOWN,2024-09-28 02:10:00+09:00,2024-09-28 02:45:00+09:00,98.439,0.158182,SL_INITIAL_NO_TP,0,0.0,0.996377,0.170689,0.024893,0.800796,622.313116,26.885942,0.01,False,21.530145,2710.124329
AUD_JPY,DOWN,2024-09-28 03:20:00+09:00,2024-09-28 03:45:00+09:00,98.257,0.14662,SL_INITIAL_NO_TP,0,0.0,0.459093,0.184149,0.026806,0.248138,670.146014,27.101243,0.01,False,6.724851,2716.849179
GBP_JPY,DOWN,2024-10-16 16:00:00+09:00,2024-10-16 16:40:00+09:00,193.869,0.310054,SL_INITIAL_NO_TP,0,0.0,-1.0,0.093532,0.025011,-1.118543,625.274232,27.168492,0.01,False,-30.389125,2686.460054
USD_JPY,DOWN,2024-11-29 08:40:00+09:00,2024-11-29 09:15:00+09:00,151.077,0.165817,SL_INITIAL_NO_TP,0,0.0,0.537343,0.126646,0.036444,0.374253,911.107608,26.864601,0.01,False,10.054151,2696.514206
USD_JPY,DOWN,2024-11-29 10:05:00+09:00,2024-11-29 16:35:00+09:00,150.216,0.517179,SL_INITIAL_NO_TP,0,0.0,1.038262,0.040605,0.011618,0.986039,290.452789,26.965142,0.01,False,26.588681,2723.102886
USD_JPY,DOWN,2024-11-30 04:10:00+09:00,2024-11-30 05:50:00+09:00,149.605,0.123526,SL_INITIAL_NO_TP,0,0.0,-1.0,0.170005,0.048445,-1.21845,1211.121545,27.231029,0.01,False,-33.179635,2689.923251
EUR_JPY,UP,2024-12-11 21:05:00+09:00,2024-12-11 21:25:00+09:00,160.306,0.135566,SL_INITIAL_NO_TP,0,0.0,0.637455,0.184412,0.0473,0.405743,1182.496005,26.899233,0.01,False,10.914168,2700.837419
GBP_JPY,UP,2024-12-11 21:05:00+09:00,2024-12-11 21:30:00+09:00,194.371,0.142952,SL_INITIAL_NO_TP,0,0.0,0.654974,0.202866,0.054388,0.39772,1359.698239,26.899233,0.01,False,10.698369,2711.535788
AUD_JPY,UP,2024-12-11 21:05:00+09:00,2024-12-11 21:30:00+09:00,96.952,0.086066,SL_INITIAL_NO_TP,0,0.0,1.08063,0.313715,0.04506,0.721855,1126.49087,26.899233,0.01,False,19.417357,2730.953145
AUD_JPY,UP,2024-12-11 21:55:00+09:00,2024-12-11 22:30:00+09:00,97.032,0.065949,SL_INITIAL_NO_TP,0,0.0,0.141307,0.409406,0.058853,-0.326952,1471.315559,27.309531,0.01,False,-8.928908,2722.024237
USD_JPY,UP,2024-12-11 22:10:00+09:00,2024-12-11 22:30:00+09:00,152.631,0.111398,SL_INITIAL_NO_TP,0,0.0,-1.0,0.188513,0.054806,-1.243319,1370.141295,27.309531,0.01,False,-33.954457,2688.06978
GBP_JPY,UP,2024-12-11 22:10:00+09:00,2024-12-11 22:35:00+09:00,194.479,0.132224,SL_INITIAL_NO_TP,0,0.0,0.0,0.219325,0.058833,-0.278158,1470.829009,27.309531,0.01,False,-7.59636,2680.473421
AUD_JPY,UP,2024-12-12 09:05:00+09:00,2024-12-12 09:15:00+09:00,97.142,0.05358,SL_INITIAL_NO_TP,0,0.0,-1.0,0.503915,0.07252,-1.576435,1813.01033,26.804734,0.01,False,-42.255923,2638.217497
AUD_JPY,UP,2024-12-12 12:30:00+09:00,2024-12-12 14:40:00+09:00,97.741,0.135853,SL_INITIAL_NO_TP,0,0.0,0.462939,0.198744,0.028778,0.235416,719.461477,26.382175,0.01,False,6.210793,2644.42829
AUD_JPY,UP,2024-12-12 14:50:00+09:00,2024-12-12 15:30:00+09:00,97.854,0.066468,SL_INITIAL_NO_TP,0,0.0,2.13861,0.406208,0.058888,1.673515,1472.187655,26.444283,0.01,False,44.254904,2688.683193
GBP_JPY,UP,2024-12-12 15:05:00+09:00,2024-12-12 17:35:00+09:00,194.874,0.293924,SL_INITIAL_NO_TP,0,0.0,-1.0,0.098665,0.02652,-1.125185,663.008125,26.444283,0.01,False,-29.754718,2639.720044
AUD_JPY,UP,2024-12-12 15:45:00+09:00,2024-12-12 16:10:00+09:00,97.89,0.037912,SL_INITIAL_NO_TP,0,0.0,0.077597,0.71218,0.103282,-0.737864,2582.046668,26.032481,0.009682,True,-19.208431,2669.474762
USD_JPY,UP,2024-12-13 09:05:00+09:00,2024-12-13 09:55:00+09:00,152.706,0.19647,SL_INITIAL_NO_TP,0,0.0,0.864133,0.106887,0.03109,0.726156,777.249848,26.3972,0.01,False,19.168496,2658.88854
USD_JPY,UP,2024-12-13 12:15:00+09:00,2024-12-13 12:35:00+09:00,152.989,0.066189,SL_INITIAL_NO_TP,0,0.0,-1.0,0.317275,0.092456,-1.409732,2311.41112,26.588885,0.01,False,-37.483196,2621.405344
USD_JPY,UP,2024-12-13 13:10:00+09:00,2024-12-13 15:00:00+09:00,153.022,0.142464,SL_INITIAL_NO_TP,0,0.0,-1.0,0.147406,0.042964,-1.19037,1074.108874,26.214053,0.01,False,-31.204419,2590.200925
